"COL0","COL1","COL2","COL3","COL4","COL5","COL6","COL7","COL8","COL9"
"24661199","1199",100.00,105.00,330.00,5.00,65.00,205.00,530.00,60.00
"24661200","1200",85.00,120.00,345.00,5.00,50.00,200.00,445.00,70.00
"24661201","1201",90.00,135.00,355.00,5.00,90.00,235.00,615.00,40.00
"24661202","1202",70.00,85.00,290.00,5.00,40.00,155.00,350.00,55.00
"24661203","1203",115.00,200.00,535.00,5.00,145.00,280.00,770.00,100.00
"24661204","1204",40.00,45.00,170.00,0.00,85.00,45.00,195.00,30.00
"24661205","1205",70.00,190.00,375.00,25.00,120.00,205.00,435.00,190.00
"24661206","1206",65.00,135.00,310.00,10.00,80.00,160.00,390.00,130.00
"24661207","1207",30.00,145.00,310.00,15.00,80.00,190.00,415.00,170.00
"24661208","1208",,,,,,,,
"24661209","1209",95.00,135.00,460.00,5.00,125.00,230.00,550.00,130.00
"24661210","1210",35.00,95.00,240.00,0.00,65.00,130.00,335.00,20.00
"24661211","1211",20.00,70.00,230.00,0.00,25.00,135.00,195.00,55.00
"24661212","1212",550.00,540.00,3270.00,110.00,645.00,1545.00,2815.00,1665.00
"24661213","1213",40.00,75.00,180.00,5.00,35.00,35.00,225.00,50.00
"24661214","1214",75.00,175.00,385.00,15.00,90.00,155.00,420.00,185.00
"24661215","1215",65.00,185.00,440.00,0.00,90.00,225.00,520.00,100.00
"24661216","1216",25.00,110.00,230.00,5.00,65.00,145.00,330.00,45.00
"24661217","1217",35.00,85.00,245.00,0.00,35.00,140.00,295.00,45.00
"24661218","1218",20.00,130.00,285.00,0.00,55.00,235.00,405.00,60.00
"24661219","1219",20.00,110.00,210.00,5.00,35.00,105.00,260.00,50.00
"24661220","1220",45.00,80.00,240.00,5.00,50.00,135.00,240.00,100.00
"24661221","1221",30.00,115.00,270.00,5.00,60.00,170.00,305.00,75.00
"24661222","1222",90.00,235.00,670.00,20.00,160.00,300.00,790.00,255.00
"24661223","1223",95.00,285.00,445.00,20.00,90.00,170.00,355.00,175.00
"24661224","1224",115.00,155.00,995.00,20.00,220.00,465.00,850.00,475.00
"24661225","1225",40.00,35.00,200.00,5.00,60.00,80.00,180.00,120.00
"24661226","1226",45.00,110.00,650.00,10.00,125.00,290.00,515.00,200.00
"24661227","1227",95.00,205.00,1150.00,30.00,180.00,590.00,1040.00,450.00
"24661228","1228",45.00,50.00,400.00,10.00,85.00,205.00,360.00,180.00
"24661229","1229",130.00,325.00,660.00,55.00,170.00,275.00,390.00,680.00
"24661230","1230",90.00,175.00,805.00,30.00,125.00,335.00,575.00,435.00
"24661231","1231",35.00,25.00,310.00,0.00,60.00,85.00,195.00,100.00
"24661232","1232",190.00,280.00,785.00,55.00,175.00,300.00,505.00,735.00
"24661233","1233",85.00,140.00,490.00,30.00,85.00,195.00,320.00,375.00
"24661234","1234",35.00,40.00,305.00,5.00,65.00,135.00,285.00,135.00
"24661237","1237",10.00,15.00,70.00,0.00,15.00,25.00,40.00,30.00
"24661240","1240",340.00,185.00,1535.00,70.00,375.00,700.00,1135.00,895.00
"24661241","1241",10.00,45.00,245.00,5.00,50.00,105.00,240.00,70.00
"24661242","1242",100.00,135.00,350.00,20.00,75.00,220.00,405.00,225.00
"24661243","1243",115.00,210.00,315.00,20.00,50.00,110.00,420.00,230.00
"24661244","1244",90.00,115.00,325.00,5.00,150.00,110.00,430.00,85.00
"24661245","1245",50.00,120.00,295.00,5.00,110.00,185.00,405.00,60.00
"24661246","1246",75.00,110.00,330.00,5.00,150.00,170.00,420.00,140.00
"24661247","1247",70.00,70.00,280.00,5.00,70.00,140.00,345.00,50.00
"24661248","1248",70.00,60.00,215.00,0.00,65.00,110.00,290.00,65.00
"24661249","1249",80.00,105.00,385.00,0.00,165.00,215.00,530.00,110.00
"24661250","1250",105.00,140.00,375.00,5.00,75.00,225.00,490.00,75.00
"24661251","1251",75.00,160.00,390.00,5.00,80.00,195.00,475.00,80.00
"24661252","1252",120.00,240.00,845.00,15.00,245.00,380.00,865.00,295.00
"24661255","1255",45.00,65.00,440.00,10.00,135.00,170.00,415.00,145.00
"24661256","1256",160.00,55.00,860.00,15.00,330.00,365.00,645.00,260.00
"24661257","1257",75.00,65.00,635.00,0.00,190.00,310.00,490.00,245.00
"24661258","1258",30.00,15.00,50.00,90.00,10.00,15.00,20.00,140.00
"24661259","1259",40.00,75.00,140.00,85.00,45.00,80.00,160.00,155.00
"24661260","1260",195.00,125.00,615.00,175.00,150.00,355.00,430.00,395.00
"24661261","1261",105.00,125.00,530.00,20.00,150.00,240.00,285.00,325.00
"24661262","1262",95.00,135.00,630.00,15.00,190.00,365.00,465.00,320.00
"24661263","1263",55.00,100.00,85.00,30.00,15.00,15.00,110.00,125.00
"24661264","1264",180.00,330.00,400.00,70.00,70.00,115.00,580.00,475.00
"24661265","1265",40.00,45.00,420.00,0.00,95.00,300.00,355.00,95.00
"24661269","1269",95.00,60.00,325.00,10.00,120.00,165.00,210.00,160.00
"24661270","1270",125.00,25.00,235.00,5.00,160.00,85.00,220.00,150.00
"24661271","1271",145.00,30.00,260.00,10.00,150.00,75.00,180.00,150.00
"24661272","1272",185.00,45.00,450.00,5.00,275.00,155.00,310.00,230.00
"24661273","1273",195.00,35.00,380.00,0.00,135.00,105.00,280.00,150.00
"24661276","1276",225.00,60.00,370.00,15.00,195.00,95.00,255.00,250.00
"24661277","1277",215.00,25.00,345.00,0.00,235.00,125.00,310.00,125.00
"24661278","1278",285.00,10.00,320.00,0.00,310.00,65.00,240.00,115.00
"24661279","1279",180.00,10.00,205.00,0.00,145.00,50.00,140.00,120.00
"24661280","1280",375.00,10.00,290.00,5.00,265.00,80.00,230.00,180.00
"24661281","1281",370.00,40.00,315.00,30.00,220.00,65.00,210.00,335.00
"24661282","1282",200.00,10.00,180.00,5.00,170.00,35.00,115.00,100.00
