COL0,COL1,COL2,COL3,COL4,COL5,COL6,COL7,COL8,COL9,COL10
24662954,2954,443,0,225,210,5,15,190,285,125
24662955,2955,438,0,240,190,0,0,190,385,50
24662956,2956,354,5,200,140,5,0,200,370,60
24662957,2957,459,5,255,185,0,0,160,355,35
24662958,2958,678,25,305,325,15,25,210,365,240
24662961,2961,730,15,370,320,25,20,235,355,365
24662962,2962,414,20,190,185,10,15,110,215,180
24662963,2963,456,10,230,210,10,15,165,245,185
24662964,2964,456,30,245,165,10,10,110,250,215
24662965,2965,650,15,375,225,15,15,215,410,200
24662966,2966,570,25,330,185,25,15,150,250,205
24662967,2967,665,10,370,270,20,0,140,325,210
24662968,2968,768,20,440,295,10,15,220,375,225
24662969,2969,732,40,320,335,35,25,165,340,330
24662970,2970,532,25,235,260,20,0,185,290,255
24662971,2971,406,25,155,215,15,15,120,190,225
24662972,2972,493,30,190,230,40,20,120,190,290
24662973,2973,560,40,240,255,35,20,135,285,280
24662974,2974,590,20,205,345,20,25,145,290,305
24662975,2975,655,15,260,350,25,30,170,345,270
24662976,2976,558,20,250,265,20,35,180,330,225
24662977,2977,419,10,185,210,15,0,140,265,145
24662978,2978,383,5,175,200,0,0,165,240,120
24662979,2979,735,35,295,375,25,45,270,405,390
24662980,2980,704,15,325,345,15,15,250,510,220
24662981,2981,478,45,145,275,10,30,170,260,160
24662982,2982,411,0,140,260,5,15,205,260,155
24662983,2983,456,35,45,375,0,20,25,290,180
24662984,2984,671,50,35,580,5,35,105,430,220
24662985,2985,428,50,80,290,10,10,40,140,65
24662986,2986,374,20,35,320,0,40,60,240,165
24662987,2987,718,125,80,485,25,70,60,420,300
24662988,2988,708,70,80,480,20,45,110,440,245
24662989,2989,370,60,60,240,15,65,45,215,155
24662992,2992,476,35,230,205,5,30,80,160,170
24662993,2993,337,55,125,150,5,20,70,155,80
24662994,2994,950,170,270,485,25,65,210,420,530
24662995,2995,446,55,75,300,15,40,80,305,170
24662996,2996,427,75,25,315,15,40,35,225,180
24662997,2997,793,205,160,400,25,100,110,295,470
24662998,2998,840,265,60,495,20,195,70,420,445
24662999,2999,362,110,40,190,20,60,15,155,155
